Respondent_ID,Q1_Age,Q2_Gender,Q3_MaritalStatus,Q4_Employment,Q5_Income,Q6_TripsPerYear,Q7_HolidayType,Q8_Budget,Q9_Priorities,Q10_BookingAdvance,Q11_InfoSources,Q12_BookingPreference,Q13_Accommodation,Q14_Africa,Q14_EAsia,Q14_Europe,Q14_NAmerica,Q14_Oceania,Q14_SAmerica,Q14_SEAsia,Q15_Customization,Q16_AdventureInterest,Q17_CustomServices,Q18_TechTrends,Q19_FuturePriorities
12,24,Female,Single,Unemployed,"A$30,000-A$59,999",1-2 time(s),Urban,"5,266","Destination’s natural environment (e.g., mountains, beach)",3-6 months,Travel blogs/ Websites,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,No,Yes,Neutral,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Sustainable and responsible travel
13,24,Female,In a relationship/ Partnered,Employed full-time,"A$60,000-A$99,999",0,Cultural,"5,717",Activities/ Attractions,1-4 weeks,"Social media (e.g., Instragram, TikTok)",I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,Yes,No,Slightly important,Somewhat interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
14,24,Female,Single,Employed full-time,"Less than A$30,000",3-5 times,Urban,"3,356",Safety,More than 6 months,Travel blogs/ Websites,I prefer package tours.,Hotel,No,No,Yes,No,Yes,No,No,Important,Somewhat interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
15,24,Female,Single,Unemployed,"A$100,000-A$149,999",1-2 time(s),Cultural,"9,218",Ease of planning/ Convenience,Within 1 week,Guidebooks,I prefer a mix of both.,Hotel,No,No,Yes,No,No,No,No,Neutral,Not very interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
16,24,Female,Married,Employed full-time,"A$100,000-A$149,999",3-5 times,Cultural,"6,160",Price,More than 6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Hostel,No,No,Yes,No,No,No,Yes,Neutral,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
17,25,Male,Married,Student,"A$150,000 or more",3-5 times,Cultural,"4,505",Food/ Cuisine,1-4 weeks,Guidebooks,I prefer a mix of both.,Camping/ RV,No,No,Yes,Yes,Yes,No,No,Important,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
18,25,Male,In a relationship/ Partnered,Self-employed,"A$100,000-A$149,999",3-5 times,Cultural,"6,363",Activities/ Attractions,3-6 months,Travel agents,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,No,Yes,No,Yes,Neutral,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
19,25,Male,Single,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Cultural,"5,172",Price,1-4 weeks,Travel blogs/ Websites,I prefer a mix of both.,Hostel,No,Yes,No,No,No,Yes,No,Neutral,Very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
20,25,Male,Single,Self-employed,"A$100,000-A$149,999",3-5 times,Urban,"4,654",Price,3-6 months,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,Yes,No,No,No,No,Important,Somewhat interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
21,25,Male,In a relationship/ Partnered,Employed part-time,"Less than A$30,000",1-2 time(s),Relaxation,"2,055",Safety,3-6 months,Guidebooks,I prefer package tours.,Hotel,No,No,Yes,Yes,Yes,No,No,Important,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
22,25,Female,Divorced/ Separated,Employed part-time,"Less than A$30,000",0,Adventure,"1,231","Destination’s natural environment (e.g., mountains, beach)",More than 6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Hotel,No,No,Yes,No,No,No,No,Important,Very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
23,25,Male,Married,Student,"Less than A$30,000",0,Cultural,"2,893",Price,3-6 months,Travel agents,I prefer a mix of both.,Hotel,Yes,No,Yes,No,No,No,Yes,Neutral,Not very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
24,25,Male,In a relationship/ Partnered,Student,"A$100,000-A$149,999",3-5 times,Urban,"5,434",Safety,3-6 months,Travel blogs/ Websites,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,Yes,No,Important,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
25,25,Female,Single,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Urban,"2,801",Price,1-4 weeks,Travel blogs/ Websites,I prefer to plan everything myself.,Staying with friends or family,No,No,No,No,No,No,Yes,Neutral,Very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
26,25,Female,Single,Employed part-time,"A$30,000-A$59,999",3-5 times,Urban,"4,556",Food/ Cuisine,3-6 months,Travel agents,I prefer a mix of both.,Camping/ RV,No,Yes,Yes,No,No,No,No,Important,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
27,26,Female,In a relationship/ Partnered,Student,"A$60,000-A$99,999",1-2 time(s),Cultural,"2,880",Culture/ Local experience,3-6 months,Travel agents,I prefer to plan everything myself.,Camping/ RV,No,No,Yes,Yes,Yes,Yes,No,Important,Very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
28,26,Female,Single,Employed part-time,"A$30,000-A$59,999",1-2 time(s),Adventure,"3,913",Activities/ Attractions,3-6 months,Guidebooks,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,No,Yes,Yes,No,No,Neutral,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
29,27,Male,Divorced/ Separated,Unemployed,"A$100,000-A$149,999",3-5 times,Urban,"4,699",Culture/ Local experience,More than 6 months,Guidebooks,I prefer to plan everything myself.,Hotel,No,No,Yes,Yes,Yes,No,No,Important,Somewhat interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
30,27,Male,In a relationship/ Partnered,Employed full-time,"Less than A$30,000",3-5 times,Adventure,"3,518",Price,3-6 months,Travel blogs/ Websites,I prefer package tours.,Hotel,No,Yes,No,Yes,No,Yes,Yes,Neutral,Very interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
31,27,Male,Married,Employed full-time,"A$30,000-A$59,999",0,Cultural,"2,486",Activities/ Attractions,3-6 months,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,No,No,No,Yes,Yes,Neutral,Not very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,"Budget, value, and affordability"
32,27,Female,Divorced/ Separated,Employed full-time,"A$150,000 or more",6 times or more,Relaxation,"7,834",Price,Within 1 week,Guidebooks,I prefer a mix of both.,Hotel,No,No,No,No,Yes,No,No,Extremely important,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
33,27,Female,In a relationship/ Partnered,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Relaxation,"5,306",Food/ Cuisine,1-4 weeks,Guidebooks,I prefer package tours.,Hostel,No,No,No,No,No,No,Yes,Important,Not very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
34,28,Female,Single,Employed full-time,"Less than A$30,000",1-2 time(s),Cultural,"2,633",Activities/ Attractions,3-6 months,Travel agents,I prefer package tours.,Staying with friends or family,No,Yes,No,No,No,No,Yes,Neutral,Very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Sustainable and responsible travel
35,28,Male,Single,Unemployed,"A$30,000-A$59,999",0,Adventure,"2,997",Activities/ Attractions,1-4 weeks,Travel blogs/ Websites,I prefer a mix of both.,Staying with friends or family,No,No,Yes,No,No,No,Yes,Slightly important,Very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
36,28,Female,Single,Employed full-time,"A$150,000 or more",3-5 times,Adventure,"7,681",Activities/ Attractions,1-4 weeks,Travel agents,I prefer to plan everything myself.,Hotel,No,Yes,Yes,Yes,No,No,Yes,Neutral,Not very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
37,28,Female,In a relationship/ Partnered,Employed full-time,"A$100,000-A$149,999",0,Cultural,"4,679",Price,More than 6 months,Travel agents,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,No,No,No,Neutral,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
38,29,Male,In a relationship/ Partnered,Employed part-time,"A$60,000-A$99,999",0,Cultural,"2,871",Price,1-4 weeks,"Social media (e.g., Instragram, TikTok)",I prefer package tours.,Camping/ RV,No,No,No,Yes,No,No,No,Neutral,Not very interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
39,29,Male,In a relationship/ Partnered,Self-employed,"A$150,000 or more",1-2 time(s),Adventure,"6,260",Food/ Cuisine,3-6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Hotel,Yes,Yes,No,No,No,No,No,Important,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
40,29,Female,In a relationship/ Partnered,Unemployed,"A$60,000-A$99,999",3-5 times,Cultural,"4,370",Safety,1-4 weeks,Travel agents,I prefer package tours.,Camping/ RV,No,Yes,No,No,No,No,No,Important,Not very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
41,29,Female,Single,Unemployed,"A$60,000-A$99,999",3-5 times,Adventure,"6,684",Ease of planning/ Convenience,3-6 months,Friends and family,I prefer to plan everything myself.,Hotel,No,No,Yes,No,Yes,No,No,Neutral,Not interested at all,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
42,29,Female,In a relationship/ Partnered,Student,"A$100,000-A$149,999",3-5 times,Urban,"4,594",Ease of planning/ Convenience,1-4 weeks,Guidebooks,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,No,No,No,Important,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
43,29,Male,Single,Employed full-time,"A$30,000-A$59,999",0,Cultural,"4,688",Price,1-4 weeks,Travel agents,I prefer package tours.,Hotel,No,No,Yes,No,No,No,No,Not important at all,Not very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
44,29,Female,In a relationship/ Partnered,Unemployed,"A$30,000-A$59,999",0,Cultural,"6,183",Price,1-4 weeks,Friends and family,I prefer a mix of both.,Hostel,No,No,No,No,No,Yes,Yes,Neutral,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
45,29,Male,Divorced/ Separated,Unemployed,"A$30,000-A$59,999",1-2 time(s),Adventure,"2,035",Safety,3-6 months,Travel blogs/ Websites,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,No,Yes,Important,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
46,30,Female,In a relationship/ Partnered,Employed full-time,"A$60,000-A$99,999",0,Cultural,"3,927",Safety,More than 6 months,Friends and family,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,Yes,Yes,No,No,Neutral,Neutral,Flexible payment plans or advanced budgeting tools,"Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
47,30,Female,Married,Retired,"A$100,000-A$149,999",3-5 times,Urban,"1,714",Price,3-6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,Yes,Yes,Yes,No,No,No,Important,Somewhat interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Sustainable and responsible travel
48,30,Female,Single,Employed full-time,"A$60,000-A$99,999",3-5 times,Relaxation,"5,491","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Guidebooks,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",Yes,No,Yes,No,No,No,No,Neutral,Not interested at all,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
49,30,Female,Single,Employed full-time,"A$60,000-A$99,999",3-5 times,Adventure,"2,857",Price,1-4 weeks,Travel agents,I prefer to plan everything myself.,Hostel,No,No,Yes,No,No,No,Yes,Important,Somewhat interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Sustainable and responsible travel
50,30,Male,In a relationship/ Partnered,Employed part-time,"A$100,000-A$149,999",6 times or more,Cultural,"4,979","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,No,No,No,Yes,No,Important,Not very interested,Flexible payment plans or advanced budgeting tools,"Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
51,31,Female,In a relationship/ Partnered,Employed part-time,"A$30,000-A$59,999",0,Cultural,"3,488",Safety,Within 1 week,Travel agents,I prefer to plan everything myself.,Camping/ RV,No,No,Yes,No,No,No,Yes,Slightly important,Somewhat interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
52,31,Male,In a relationship/ Partnered,Employed full-time,"Less than A$30,000",0,Adventure,"2,428",Safety,More than 6 months,Travel blogs/ Websites,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,No,Yes,Slightly important,Neutral,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
53,31,Male,Single,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Adventure,"7,108",Safety,3-6 months,"Search engines (e.g., Google)",I prefer package tours.,"Vacation rental (e.g., Airbnb)",Yes,Yes,Yes,No,No,No,No,Neutral,Somewhat interested,"Practical and logistical support (e.g., visa assistance, travel insurance)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
54,31,Female,Single,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Relaxation,"5,236",Activities/ Attractions,3-6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer to plan everything myself.,Camping/ RV,No,No,Yes,No,No,No,No,Neutral,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
55,31,Female,Married,Student,"A$100,000-A$149,999",1-2 time(s),Urban,"7,079",Food/ Cuisine,1-4 weeks,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,Yes,No,No,No,Yes,Neutral,Neutral,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
56,31,Male,Married,Unemployed,"A$100,000-A$149,999",6 times or more,Adventure,"6,082",Price,1-4 weeks,Guidebooks,I prefer to plan everything myself.,Staying with friends or family,No,No,Yes,No,No,No,Yes,Extremely important,Very interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
57,31,Female,Divorced/ Separated,Retired,"Less than A$30,000",0,Urban,"2,373",Activities/ Attractions,3-6 months,Travel agents,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,No,No,No,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
58,32,Female,Married,Employed part-time,"A$150,000 or more",3-5 times,Cultural,"6,129",Price,3-6 months,Friends and family,I prefer a mix of both.,Hotel,No,No,Yes,No,No,No,No,Neutral,Not very interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
59,32,Male,Single,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Urban,"5,908",Price,1-4 weeks,Travel blogs/ Websites,I prefer package tours.,Hotel,No,No,No,No,No,No,No,Slightly important,Neutral,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
60,32,Female,In a relationship/ Partnered,Employed full-time,"Less than A$30,000",0,Relaxation,"1,871",Ease of planning/ Convenience,1-4 weeks,Guidebooks,I prefer to plan everything myself.,Camping/ RV,No,No,No,No,Yes,Yes,No,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
61,33,Male,In a relationship/ Partnered,Self-employed,"A$100,000-A$149,999",3-5 times,Adventure,"4,387",Safety,More than 6 months,Travel blogs/ Websites,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,No,No,Neutral,Somewhat interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
62,33,Female,Single,Student,"Less than A$30,000",0,Cultural,"2,372",Price,1-4 weeks,"Social media (e.g., Instragram, TikTok)",I prefer package tours.,Hotel,No,No,No,No,No,Yes,Yes,Slightly important,Very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
63,33,Female,Married,Employed full-time,"A$150,000 or more",6 times or more,Cultural,"3,318",Price,1-4 weeks,Travel agents,I prefer package tours.,Hotel,No,No,Yes,No,No,No,Yes,Extremely important,Neutral,Flexible payment plans or advanced budgeting tools,Virtual or Augmented Reality (VR/AR) to preview destinations,"Budget, value, and affordability"
64,33,Male,In a relationship/ Partnered,Employed full-time,"A$60,000-A$99,999",3-5 times,Cultural,"5,795",Price,More than 6 months,Friends and family,I prefer package tours.,Hotel,No,No,Yes,No,No,No,No,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
65,34,Male,Married,Unemployed,"A$150,000 or more",3-5 times,Urban,"5,246",Price,More than 6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,Yes,No,No,No,No,No,Neutral,Not very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
66,34,Male,In a relationship/ Partnered,Self-employed,"A$30,000-A$59,999",6 times or more,Cultural,"1,628",Price,3-6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer a mix of both.,Camping/ RV,No,Yes,No,No,No,No,No,Extremely important,Somewhat interested,"Practical and logistical support (e.g., visa assistance, travel insurance)",Virtual or Augmented Reality (VR/AR) to preview destinations,Sustainable and responsible travel
67,34,Female,Single,Unemployed,"A$150,000 or more",6 times or more,Adventure,"6,355",Food/ Cuisine,More than 6 months,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,No,No,No,No,No,Important,Somewhat interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
68,34,Female,Married,Unemployed,"A$100,000-A$149,999",3-5 times,Cultural,"5,634","Destination’s natural environment (e.g., mountains, beach)",More than 6 months,Travel agents,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,Yes,No,No,No,Yes,No,Important,Not very interested,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Sustainable and responsible travel
69,35,Female,In a relationship/ Partnered,Student,"Less than A$30,000",0,Adventure,"3,493",Culture/ Local experience,3-6 months,Travel agents,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,Yes,No,No,No,No,No,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
70,35,Female,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",0,Cultural,"2,243","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Friends and family,I prefer to plan everything myself.,Hostel,No,No,No,Yes,No,No,No,Neutral,Somewhat interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
71,35,Female,In a relationship/ Partnered,Self-employed,"A$100,000-A$149,999",1-2 time(s),Adventure,"5,856",Activities/ Attractions,Within 1 week,Travel agents,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,Yes,Yes,Neutral,Neutral,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,Sustainable and responsible travel
72,35,Female,In a relationship/ Partnered,Employed full-time,"A$30,000-A$59,999",3-5 times,Cultural,"2,701",Ease of planning/ Convenience,More than 6 months,Travel blogs/ Websites,I prefer package tours.,Hotel,No,No,No,No,Yes,No,Yes,Important,Very interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
